Job_ID,Company_ID,Job_Title,Sector,Salary,Location,Hiring_Year
1,159,Supply Chain Manager,FinTech,1263097,Delhi,2024
2,66,Network Security Engineer,FMCG,715313,Kolkata,2024
3,124,HR Associate,E-commerce,1071445,Chennai,2024
4,177,Mechanical Engineer,Interior Design,697824,Mumbai,2024
5,5,Digital Marketing Executive,Banking & Finance,523676,Delhi,2024
6,75,Medical Representative,Manufacturing,1311644,Hyderabad,2024
7,51,SEO Specialist,Automobile,803350,Delhi,2024
8,13,Financial Analyst,Banking & Finance,593055,Kolkata,2024
9,154,Financial Analyst,InsurTech,1464588,Chennai,2024
10,84,Systems Engineer,Oil & Gas,703144,Chennai,2024
11,30,AI/ML Engineer,IT Services,1142104,Hyderabad,2024
12,110,HR Associate,SaaS,709491,Delhi,2024
13,46,Systems Engineer,E-commerce,481130,Kolkata,2024
14,4,Software Engineer,Banking & Finance,416798,Hyderabad,2024
15,123,Front-end Developer,Social Media,982337,Delhi,2024
16,15,Site Reliability Engineer,Banking & Finance,1397697,Delhi,2024
17,138,Machine Learning Scientist,FinTech,1118185,Delhi,2024
18,128,Blockchain Developer,E-commerce,516431,Chennai,2024
19,48,Digital Marketing Executive,FinTech,1498483,Mumbai,2024
20,151,Business Analyst,E-commerce,435382,Pune,2024
21,106,Front-end Developer,Logistics,840345,Bangalore,2024
22,144,Mobile Application Developer,FinTech,772426,Bangalore,2024
23,97,Embedded Systems Engineer,EdTech,885516,Chennai,2024
24,114,Cloud Engineer,E-commerce,435160,Hyderabad,2024
25,121,AI/ML Engineer,Delivery Services,720688,Bangalore,2024
26,44,Marketing Analyst,E-commerce,836663,Bangalore,2024
27,45,Front-end Developer,E-commerce,783440,Bangalore,2024
28,168,Business Analyst,E-commerce,1219475,Kolkata,2024
29,99,DevOps Engineer,Food Delivery,1272059,Delhi,2024
30,185,HR Associate,EdTech,1489072,Chennai,2024
31,64,Data Analyst,Pharma & Healthcare,1049021,Kolkata,2024
32,98,Network Security Engineer,Food Delivery,1159641,Chennai,2024
33,42,Data Analyst,E-commerce,1132314,Chennai,2024
34,88,Site Reliability Engineer,Mining,459225,Pune,2024
